ref_code,token,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,total_dr_usd
170,sUSDS,,,,,,,,,8.277904076178812e-7,0.000010444326487678806,0.00001604584945623312,0.000016107280441664418,0.000015648235815133716,0.000016232629520848732,0.00001576772603868507,0.000016351254330525207,0.00001367863487269397,0.000012394119953646112,0.000013764867344284045,0.00001336192509272738,0.000013849008872408529,0.000174473648634147
171,sUSDS,,,,,,0.000010127386167871385,0.00011751553648708238,0.00015647984757435326,0.00030996050214913214,0.0004217029693378033,0.0004724716249304096,0.0004926597117846116,0.00047861929556732046,0.001077061076243156,0.0024241640745365873,0.0025309630623442524,0.002117276075212843,0.0019184497504329443,0.00213062374833987,0.0020682534901382225,0.0021436477705512984,0.018869975921797757
182,sUSDC,,,,,,,,,16.920943374690616,45.70244896773094,2.0960220623145305,0.14549202342417478,0.040127156016720185,0.04027373878662089,0.029148739635765617,0.0289143660807865,0.024188300674058583,0.021916858138205268,0.024340787913751535,0.023628254211820035,0.024489577658021986,65.121934207276
183,sUSDS,,,,,,,,,0.005578306001781179,0.44474255753644854,7044.161386257441,18451.035859844284,17635.19100308841,17336.562730645423,20843.092529849906,24105.194369925597,21333.384118292204,13278.929767896732,11113.764428103526,9912.967924836805,11847.596192241095,172902.33063184496
186,spETH,,,,,,,,,,,,,,,0,,0,0,0,0,0,0
186,spUSDC,,,,,,,,,,,,,,,0.4395303322862366,51.43989551740268,16.662048248800232,37.41974152657075,70.26378952665563,325.9814220217969,700.1053095796042,1202.3117367531167
186,spUSDT,,,,,,,,,,,,,,,11.634438972936989,315.92922063954785,120.67323043612677,191.96672044661977,197.63486241321885,517.1053600318809,347.9048772550314,1702.8487101953624
186,sUSDC,,,,,,,,,,,,0.0007260285232978351,29.86390928021335,24.846869520973403,401.0667628031244,651.2609611084864,840.8570368959579,1037.5779899606605,2311.077890095982,1372.0100777453858,491.56530682153044,7160.127530260837
186,sUSDS,,,,,,,,,,,0.000032683615018306355,0.017799976663263835,0.04259877699520689,0.0194166628966083,37.37366675133504,0.39100600724799917,0.04171387291158138,0.015538117677900917,0.00013062228716463693,0.0001267985497343627,0.00013142075173251016,37.90216169093125
188,spUSDT,,,,,,,,,,,,,,,,,,,5889.436200565304,12300.613915914826,7694.248891429038,25884.29900790917
188,sUSDC,,,,,,,,,,,,6283.604227775308,16471.784387961674,16943.107410495737,7109.783089417372,3055.548067150756,1186.515644986591,270.21371570191064,3530.2957858016803,6054.844329575339,944.0868165652957,61849.783475431665
188,sUSDS,,,,,,,,,,,,,,,,,,,0.00017833369195189045,0.00023153479027057536,3610.205695028978,3610.20610489746
190,spETH,,,,,,,,,,,,,,,,0,0,0,,0,,0
190,spUSDC,,,,,,,,,,,,,,,,21225.868832155822,10282.55469592626,5236.374805331464,4043.2850919580806,2760.8332165166394,2649.7470075287756,46198.663649417045
190,spUSDT,,,,,,,,,,,,,,,,160.95620016821604,119.04837295120076,62.35919818066034,152.37783182950017,135.17377143079605,85.21628261117516,715.1316571715486
