ref_code,token,blockchain,source,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,total_dr_usd
190,sUSDC,ethereum,susds_susdc,,,,,,,,,,,,0.00015672603080986376,0.005072990300895043,0.0056227573806462375,0.0046872251107515405,51.46294883014547,85.01652744725578,44.862165751797036,42.77878205025429,25.013418579500055,0.00604463781191805,249.15542699558765
190,sUSDC,optimism,susds_susdc,,,,,,,,,,,,,,,,15.999244056260977,,,,,,15.999244056260977
190,sUSDS,ethereum,susds_susdc,,,,,,,,,,,,,,,,,0.15824796865803675,,,7.619523117508172,6.798079782737514,14.575850868903723
191,spUSDC,avalanche_c,sp,,,,,,,,,,,,,,,,2910.805818727834,2164.429525847791,26.126532534716148,29.00079538485493,28.198307669192513,29.591187686639344,5188.152167851028
191,spUSDT,ethereum,sp,,,,,,,,,,,,,,,,2146.1661280286958,1238.8487513809764,5514.674890687887,8197.761337770486,11307.88327657582,22118.939640561148,50524.27402500501
191,sUSDC,ethereum,susds_susdc,,,,,,,,,,,,,,,,,,,479.85286290409726,2295.7430776396764,3357.4088108800884,6133.004751423861
192,sUSDC,ethereum,susds_susdc,,,,,,,,,,,,,,,0.0002433962944695407,51102.27687530671,56666.75697240863,41751.19588836657,48284.10945030169,37688.16905791436,26401.202999643723,261893.71148733798
194,sUSDC,arbitrum,susds_susdc,,,,,,,,,,,,,,15.768267896283737,36.25934030392261,18.67592997181595,4.5541961267520765,3.896902538253799,4.301644121339717,3.9685261696561365,4.062230649721106,91.48703777774513
194,sUSDC,base,susds_susdc,,,,,,,,,,,,,,0.7687099975585081,0.989625375911902,0.14320897423289686,,,,,,1.901544347703307
194,sUSDC,ethereum,susds_susdc,,,,,,,,,,,,,,3.3205034285675414,0.42802778297846883,0.3971058978792346,0.3238596521929458,0.2841377422374228,0.3155624076444226,0.3063248738675367,0.31749136943896905,5.6930131548065415
194,sUSDC,optimism,susds_susdc,,,,,,,,,,,,,,0.033394302506302376,0.09371740077722361,0.09718567189973229,0.08130063258357928,0.07366596169327658,0.08181316586216786,0.022760266934740807,,0.48383740225702276
195,sUSDC,arbitrum,susds_susdc,,,,,,,,,,,,,,,,,,,,0.703841805326558,1.8777629729865382,2.581604778313096
195,sUSDC,ethereum,susds_susdc,,,,,,,,,,,,,956.1961056846186,3175.459194952096,8105.614837528927,7915.428521960423,3879.943446154905,1671.219422959561,7613.53703214975,4967.619829958708,3081.0365399851844,41366.054931334176
196,sUSDC,arbitrum,susds_susdc,,,,,,,,,,,,,0.005651730761684867,0.02060227612901639,0.01594048395457755,0.022642150472406346,0.03179218474369862,0.22339044362254654,0.2541009830216266,0.24610223826506372,0.25458459332023686,1.0748070842908575
197,stUSDS,ethereum,stusds,,,,,,,,,,,,,,16159.545842414653,17563.94093572422,17503.7386622655,6824.987655591929,6314.1497069511715,5576.068892074834,8508.93072191686,10729.876247816588,89181.23866475576
198,spUSDC,avalanche_c,sp,,,,,,,,,,,,,,0,0,0.000034158980486346784,0.000016157823075441504,0.000014220274200841092,0.000015784691744575757,0.000015347909889028618,0.00001610603329291496,0.00011177571268914872
198,spUSDC,ethereum,sp,,,,,,,,,,,,,,0.002680747991990604,1.1664625125273964,0.4259716452368086,0.016306675216252498,0.014831506456157773,0.016872887621313993,0.01642989193295909,0.017118612586395975,1.6766744795692747
198,spUSDT,ethereum,sp,,,,,,,,,,,,,,0.05412686862706334,0.5165882380453046,0.016959694657248905,0.0023690493436559564,0.002103243275591434,0.0022106769193196794,0.0021449891301880014,0.002221597447826913,0.5987243574461988
200,spUSDC,ethereum,sp,,,,,,,,,,,,,,,,,2.6460090789674466e-8,0.5933760123583134,5.2590070417760515,32.090505114427074,91.57472388984812,129.51761208486965
200,spUSDT,ethereum,sp,,,,,,,,,,,,,,,,,2.104809893031371,,0.4806163654193227,0.5034409367035659,0.017243205590234893,3.106110400744494
200,sUSDC,arbitrum,susds_susdc,,,,,,,,,,,,,,,,,,0.1328411920627407,0.1388998902223283,,,0.271741082285069
200,sUSDC,base,susds_susdc,,,,,,,,,,,,,,,,,0.00002870425348069329,0.000123092249613832,0.00020443569284453358,0.00008723909687969353,0.00009296878035880139,0.0005364400731775538
200,sUSDC,unichain,susds_susdc,,,,,,,,,,,,,,,,,,,,5.377412562568621e-9,,5.377412562568621e-9
200,sUSDS,arbitrum,psm3_arbitrum,,,,,,,,,,,,,,,,,,,,0.0013388146027079346,,0.0013388146027079346
200,sUSDS,base,psm3_base,,,,,,,,,,,,,,,,,,,,1.0027319179082705e-8,,1.0027319179082705e-8
200,sUSDS,ethereum,susds_susdc,,,,,,,,,,,,,,,,,,,,,0.003741318683540526,0.003741318683540526
200,sUSDS,optimism,psm3_optimism,,,,,,,,,,,,,,,,,,,,5.693730948602071e-9,,5.693730948602071e-9
200,sUSDS,unichain,psm3_unichain,,,,,,,,,,,,,,,,,,,,2.846859252936129e-9,,2.846859252936129e-9
