ref_code,token,2024-09-01,2024-10-01,2024-11-01,2024-12-01,2025-01-01,2025-02-01,2025-03-01,2025-04-01,2025-05-01,2025-06-01,2025-07-01,2025-08-01,2025-09-01,2025-10-01,2025-11-01,2025-12-01,2026-01-01,2026-02-01,2026-03-01,2026-04-01,2026-05-01,2026-06-01,2026-07-01,2026-08-01,total
0,USDS-SPK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001945347731801,0.0010618673974356,0.0010618673974356,0.0014587430536138,0.0015699379225244,0.0015192947637333,0.0015699379225244,0.0013089311383739,0.0011822603830474,180.59640861937623,179.82666709926744,115.57689776385293,99.15189580086356,37.04614918295363,6.005992280632994,618.2149381216987
1015,sUSDS,0.0,0.0,0.0,0.0,12.884360501975053,218.0539915657586,184.5975561759837,7.563965869738375,9.035163613376628e-05,123.649737168996,9.101874680782693e-05,9.136720896462189e-05,8.876331669781748e-05,9.207824142483251e-05,8.944111507294168e-05,9.2751130438283e-05,7.759091880595674e-05,7.030461474736664e-05,7.808006540593472e-05,7.579440899054346e-05,7.855735122780435e-05,7.624929379043798e-05,4.386695387200273e-05,3.1750427134116555e-05,546.7507792478813
3000,sUSDS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014260407450342213,0.0020260596499544,5.664205870055585,54.63050223950486,441.84047929326306,502.1373560665479
200,spUSDC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6460090789674466e-08,0.5933760123583132,5.259007041776051,32.09050511442707,91.57472388984816,78.15080675346192,3.022977496586654,109.00723858581976,319.698634920738
202,spUSDT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.84498894658262,29.89583632690229,30.03227596138699,42.34435514159792,40.040278970950425,31.89591873227368,22.751804529636868,21.820111700708797,21.93653297513492,290.56210328517454
190,sUSDC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001567260308098,0.0085564137301497,0.0098504188459944,0.008712406257693426,67.46630955787646,85.01997124702696,44.86528615583279,42.7822475603361,25.016782642876997,0.0095313317748941,0.0092512960959,0.005322359839954,0.0038522665324127,265.2058303830571
204,sUSDC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.011477497425718,34.51553312261415,73.57826864088607,75.96517780288261,71.03322398311,2.2052850653597735,0.5440563144957603,261.85302242677403
4011,sUSDS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010422326618665,76.33899163024161,0.0034375795933461,119.49714441504648,7.72373427145418,203.5643501289975
0,stUSDS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.67546250137465,64.43892638482573,55.30583890452396,0.0048703328296245,0.0044341838491031,0.0049371990973134,0.0048016621053133,0.004991336380264,0.0048553631810393,0.0050473680182653,0.0050735618829975,156.45923879806827
129,sUSDC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6415203110271501,2.5779557833585005,0.593354734238549,0.3929064571935467,0.213290069311691,0.5917428320463922,41.014214722040506,43.380565643094094,31.49002292867356,120.895573480984
194,sUSDC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.890875624916085,37.77071086359021,19.313430515827815,4.959356411528602,4.254706242184499,4.699019694846309,4.297611310458415,4.379722019160075,4.129285572709232,2.312150162888121,1.6628495629481301,107.66971798105749
