month,blockchain,token,ref_code,dr_usd,source
2025-05-01,base,sUSDS,128,7721.8527546524965,psm3
2025-05-01,base,sUSDS,170,8.277904076178813e-07,psm3
2025-05-01,base,sUSDS,171,0.000162443696225471,psm3
2025-05-01,base,sUSDS,1004,2.518112671649714e-19,psm3
2025-05-01,base,sUSDS,1015,7.488527513169637e-05,psm3
2025-05-01,base,sUSDS,1017,1.3820425682135233,psm3
2025-05-01,base,sUSDS,3333,0.5701352899458768,psm3
2025-05-01,base,sUSDS,9998,0.000378471775566,psm3
2025-05-01,base,sUSDS,10000,8.69013527417301,psm3
2025-05-01,base,sUSDS,10001,6367.80795981602,psm3
2025-05-01,ethereum,USDS,9001,115587.03368235884,usds_aave
2025-05-01,ethereum,USDS-CLE,-999999,3898.76243651314,farms
2025-05-01,ethereum,USDS-CLE,0,0.0005080705250888,farms
2025-05-01,ethereum,USDS-CLE,1,5162.98946754946,farms
2025-05-01,ethereum,USDS-CLE,128,4295.821187207624,farms
2025-05-01,ethereum,USDS-CLE,1001,356.0086615278406,farms
2025-05-01,ethereum,USDS-SKY,-999999,23359.284325510216,farms
2025-05-01,ethereum,USDS-SKY,0,5410.969680679666,farms
2025-05-01,ethereum,USDS-SKY,1,112970.086490626,farms
2025-05-01,ethereum,USDS-SKY,128,61050.3739183341,farms
2025-05-01,ethereum,USDS-SKY,1001,2346.0094111927565,farms
2025-05-01,ethereum,USDS-SKY,1002,3.562615943160674,farms
2025-05-01,ethereum,USDS-SKY,1007,7788.974460549154,farms
2025-05-01,ethereum,USDS-SKY,1016,0.0034430531426077,farms
2025-05-01,ethereum,sUSDC,127,185.8280816744756,susds_susdc
2025-05-01,ethereum,sUSDC,128,124877.35449738915,susds_susdc
2025-05-01,ethereum,sUSDC,1017,11.55331974385988,susds_susdc
2025-05-01,ethereum,sUSDS,0,4427.080617875751,susds_susdc
2025-05-01,ethereum,sUSDS,1,31845.36731743346,susds_susdc
2025-05-01,ethereum,sUSDS,99,831287.3395690538,susds_susdc
2025-05-01,ethereum,sUSDS,128,209131.5496940531,susds_susdc
2025-05-01,ethereum,sUSDS,183,0.0055783060017811,susds_susdc
2025-05-01,ethereum,sUSDS,303,0.0021269220151416,susds_susdc
2025-05-01,ethereum,sUSDS,1001,3748.097104692651,susds_susdc
2025-05-01,ethereum,sUSDS,1002,1932.342118423113,susds_susdc
2025-05-01,ethereum,sUSDS,1003,59831.50294472536,susds_susdc
2025-05-01,ethereum,sUSDS,1004,2087.1101057148667,susds_susdc
2025-05-01,ethereum,sUSDS,1015,1.5466361002069913e-05,susds_susdc
2025-05-01,ethereum,sUSDS,13425,0.1005324523536947,susds_susdc
2025-06-01,arbitrum,sUSDC,127,321.6822060374422,susds_susdc
2025-06-01,arbitrum,sUSDC,128,8477.639515718716,susds_susdc
2025-06-01,arbitrum,sUSDC,182,0.0460306768526937,susds_susdc
2025-06-01,arbitrum,sUSDC,1004,2.454618754215323,susds_susdc
2025-06-01,arbitrum,sUSDC,1017,0.0001998758991334,susds_susdc
2025-06-01,arbitrum,sUSDS,1,574.4445073721081,psm3
2025-06-01,arbitrum,sUSDS,99,39093.00769075138,psm3
2025-06-01,arbitrum,sUSDS,128,1346.3646720836089,psm3
2025-06-01,arbitrum,sUSDS,171,0.00026365961313,psm3
2025-06-01,arbitrum,sUSDS,1004,6.4275895191918666e-18,psm3
2025-06-01,arbitrum,sUSDS,1017,0.008328059871165,psm3
2025-06-01,arbitrum,sUSDS,3333,7.278911683318296e-05,psm3
2025-06-01,arbitrum,sUSDS,10000,93.07807095458638,psm3
2025-06-01,arbitrum,sUSDS,10001,8801.822571063125,psm3
2025-06-01,base,sUSDC,127,127.92268115593676,susds_susdc
2025-06-01,base,sUSDC,128,6074.126240473553,susds_susdc
2025-06-01,base,sUSDC,182,45.65641829087824,susds_susdc
2025-06-01,base,sUSDC,1004,0.5548754194281984,susds_susdc
2025-06-01,base,sUSDC,1017,68.12631996265638,susds_susdc
2025-06-01,base,sUSDS,1,830.3959151164706,psm3
2025-06-01,base,sUSDS,2,2.2713635844847958e-23,psm3
2025-06-01,base,sUSDS,99,90666.88002395735,psm3
2025-06-01,base,sUSDS,128,6912.173640402559,psm3
2025-06-01,base,sUSDS,170,1.0444326487676208e-05,psm3
2025-06-01,base,sUSDS,171,0.00015804334775970002,psm3
2025-06-01,base,sUSDS,1015,123.64972214639387,psm3
2025-06-01,base,sUSDS,1017,2.2452649568939482,psm3
2025-06-01,base,sUSDS,3333,0.5145752906511855,psm3
2025-06-01,base,sUSDS,9998,0.0024646516588321963,psm3
2025-06-01,base,sUSDS,10000,5.307370435248959,psm3
2025-06-01,base,sUSDS,10001,6316.38653530244,psm3
2025-06-01,ethereum,USDS,9001,31496.935971037863,usds_aave
2025-06-01,ethereum,USDS-CLE,-999999,3475.1182448849345,farms
2025-06-01,ethereum,USDS-CLE,0,0.0004916811533117,farms
2025-06-01,ethereum,USDS-CLE,1,5320.316723974895,farms
2025-06-01,ethereum,USDS-CLE,128,5271.620563464093,farms
2025-06-01,ethereum,USDS-CLE,1001,322.65192358719383,farms
2025-06-01,ethereum,USDS-SKY,-999999,17346.651770641412,farms
2025-06-01,ethereum,USDS-SKY,0,6411.146737140765,farms
2025-06-01,ethereum,USDS-SKY,1,102638.2171554632,farms
2025-06-01,ethereum,USDS-SKY,128,66019.36284585255,farms
2025-06-01,ethereum,USDS-SKY,1001,1917.9245730523485,farms
2025-06-01,ethereum,USDS-SKY,1002,2.3191931387379934,farms
2025-06-01,ethereum,USDS-SKY,1007,17009.94767724003,farms
2025-06-01,ethereum,USDS-SKY,1016,6.020561513788106e-05,farms
2025-06-01,ethereum,USDS-SPK,-999999,182.2250906234949,farms
2025-06-01,ethereum,USDS-SPK,0,0.0001945347731801,farms
2025-06-01,ethereum,USDS-SPK,1,975.9058319672388,farms
2025-06-01,ethereum,USDS-SPK,128,399.9568656996653,farms
2025-06-01,ethereum,sUSDC,0,4629.502004343692,susds_susdc
2025-06-01,ethereum,sUSDC,127,840.4827416042909,susds_susdc
2025-06-01,ethereum,sUSDC,128,162063.14706995836,susds_susdc
2025-06-01,ethereum,sUSDC,1017,11.221833359168809,susds_susdc
2025-06-01,ethereum,sUSDS,0,3763.022507418088,susds_susdc
2025-06-01,ethereum,sUSDS,1,32608.93721660152,susds_susdc
2025-06-01,ethereum,sUSDS,99,781220.7913860684,susds_susdc
2025-06-01,ethereum,sUSDS,128,171947.913547963,susds_susdc
2025-06-01,ethereum,sUSDS,183,0.4447425575364484,susds_susdc
2025-06-01,ethereum,sUSDS,303,0.0020658966384577,susds_susdc
2025-06-01,ethereum,sUSDS,1001,2082.309334414224,susds_susdc
2025-06-01,ethereum,sUSDS,1002,2340.3828623952018,susds_susdc
2025-06-01,ethereum,sUSDS,1003,43126.691763364375,susds_susdc
2025-06-01,ethereum,sUSDS,1004,2009.525955868373,susds_susdc
2025-06-01,ethereum,sUSDS,1007,438.91654901332527,susds_susdc
2025-06-01,ethereum,sUSDS,1015,1.5022602133920532e-05,susds_susdc
2025-06-01,ethereum,sUSDS,13425,0.0001889072442534,susds_susdc
2025-06-01,optimism,sUSDC,127,204.52911354814364,susds_susdc
2025-06-01,optimism,sUSDC,128,21774.09365288129,susds_susdc
2025-06-01,optimism,sUSDS,1,0.0046153241761794,psm3
2025-06-01,optimism,sUSDS,99,24619.91516582575,psm3
2025-06-01,optimism,sUSDS,128,1.1409756363333834,psm3
2025-06-01,optimism,sUSDS,10000,4.1930494986088745e-06,psm3
2025-06-01,optimism,sUSDS,10001,21978.622766429376,psm3
2025-06-01,unichain,sUSDC,0,0.0853357575163669,susds_susdc
2025-06-01,unichain,sUSDC,127,5303.568183398564,susds_susdc
2025-06-01,unichain,sUSDC,128,1573.4364171230577,susds_susdc
2025-06-01,unichain,sUSDS,1,0.6158905014723963,psm3
2025-06-01,unichain,sUSDS,99,39720.31376170008,psm3
2025-06-01,unichain,sUSDS,128,2.3089207957892253,psm3
2025-06-01,unichain,sUSDS,10000,1.407163100890487e-08,psm3
2025-06-01,unichain,sUSDS,10001,6877.089936279135,psm3
2025-07-01,arbitrum,sUSDC,0,0.0010372805599828,susds_susdc
2025-07-01,arbitrum,sUSDC,127,546.947140494909,susds_susdc
2025-07-01,arbitrum,sUSDC,128,6854.536877674903,susds_susdc
2025-07-01,arbitrum,sUSDC,182,0.0071640398211575,susds_susdc
2025-07-01,arbitrum,sUSDC,1004,1.033283314692721,susds_susdc
2025-07-01,arbitrum,sUSDC,1017,0.0004758834663261,susds_susdc
2025-07-01,arbitrum,sUSDS,1,591.7783072205026,psm3
2025-07-01,arbitrum,sUSDS,2,6.774734417700987e-22,psm3
2025-07-01,arbitrum,sUSDS,99,42547.190075899445,psm3
2025-07-01,arbitrum,sUSDS,128,1115.73229291617,psm3
2025-07-01,arbitrum,sUSDS,171,0.0003085583791573,psm3
2025-07-01,arbitrum,sUSDS,1004,1.1589349469086185e-17,psm3
2025-07-01,arbitrum,sUSDS,3333,0.0001287634033555,psm3
2025-07-01,arbitrum,sUSDS,10000,105.15965066039558,psm3
2025-07-01,arbitrum,sUSDS,10001,7402.525978688307,psm3
2025-07-01,base,sUSDC,0,0.0503157198800155,susds_susdc
2025-07-01,base,sUSDC,127,176.1864907450466,susds_susdc
2025-07-01,base,sUSDC,128,5609.863511713252,susds_susdc
2025-07-01,base,sUSDC,182,2.0888580224933766,susds_susdc
2025-07-01,base,sUSDC,1004,0.1167203376104943,susds_susdc
2025-07-01,base,sUSDC,1017,96.26632739040228,susds_susdc
2025-07-01,base,sUSDS,1,775.1563998714768,psm3
2025-07-01,base,sUSDS,2,7.150227781000444e-21,psm3
2025-07-01,base,sUSDS,99,96851.61796646865,psm3
2025-07-01,base,sUSDS,128,5312.915639337096,psm3
2025-07-01,base,sUSDS,170,1.604584945623312e-05,psm3
2025-07-01,base,sUSDS,171,0.0001639132375345,psm3
2025-07-01,base,sUSDS,1004,3.0008985216605588e-21,psm3
2025-07-01,base,sUSDS,1015,7.54381900373696e-05,psm3
2025-07-01,base,sUSDS,1017,2.3288776695207485,psm3
2025-07-01,base,sUSDS,3333,0.5652361955787879,psm3
2025-07-01,base,sUSDS,9998,0.006476266916977235,psm3
